box spring:spring fever
Christmas Day:day care
farmers' market:market research
sonic boom:boom box
prime time:time zone
red tape:tape recorder
reform school:school district
split second:second nature
vending machine:machine gun
ground floor:floor plan
waiting room:room service
black market:market research
cocoa powder:powder room
comp time:time zone
gold rush:rush hour
pay phone:phone call
equal sign:sign language
fish stick:stick shift
foul ball:ball game
green card:card catalog
health food:food stamp
pilot light:light bulb
Groundhog Day:day care
red-light district:district court
pep talk:talk show
show business:business card
magnetic tape:tape recorder
periodic table:table tennis
rear end:end zone
royal blue:blue law
exclamation point:point man
income tax:tax shelter
mailing list:list price
police station:station wagon
printing press:press release
salad dressing:dressing room
flea market:market research
love seat:seat belt
attorney general:general store
credit card:card catalog
men's room:room service
long jump:jump rope
social science:science fiction
club soda:soda water
flip side:side street
full house:house arrest
polar bear:bear market
booby trap:trap door
case study:study hall
golf ball:ball game
parcel post:post office
first floor:floor plan
flash card:card catalog
freezing point:point man
public school:school district
Third World:world war
nursing home:home run
dry ice:ice skater
sewing machine:machine gun
dressing room:room service
station wagon:wagon train
only child:child support
pool table:table tennis
sleeping bag:bag lady
all right:right wing
health club:club soda
Latin American:American Indian
nuclear family:family values
walking stick:stick shift
minus sign:sign language
sour cream:cream cheese
civil war:war game
copy machine:machine gun
golf club:club soda
scratch paper:paper clip
voice mail:mail order
window dressing:dressing room
grad school:school district
punching bag:bag lady
South American:American Indian
Red Cross:cross street
studio apartment:apartment building
swear word:word processor
toilet paper:paper clip
fire alarm:alarm clock
greeting card:card catalog
night school:school district
secondary school:school district
burglar alarm:alarm clock
collective bargaining:bargaining chip
four-letter word:word processor
shotgun wedding:wedding ring
electric shock:shock wave
plus sign:sign language
snack bar:bar mitzvah
turning point:point man
curry powder:powder room
living room:room service
peace pipe:pipe dream
secondhand smoke:smoke screen
air time:time zone
back seat:seat belt
breeding ground:ground rule
jet black:black market
water fountain:fountain pen
sign language:language laboratory
slot machine:machine gun
water polo:polo shirt
fan mail:mail order
hard rock:rock music
Interior Department:department store
big time:time zone
cover letter:letter carrier
night light:light bulb
reality check:check mark
spaced out:out of
third party:party favor
dead end:end zone
Independence Day:day care
mother tongue:tongue twister
roll call:call girl
teaching assistant:assistant professor
gas chamber:chamber music
penalty box:box spring
P.O. Box:box spring
ranch house:house arrest
hot seat:seat belt
PIN number:number cruncher
quantum leap:leap year
North American:American Indian
grizzly bear:bear market
poison ivy:Ivy League
sports car:car wash
totem pole:pole vault
search party:party favor
talk show:show business
notary public:public utility
pinball machine:machine gun
venetian blind:blind spot
elementary school:school district
middle school:school district
polling place:place mat
ballpoint pen:pen pal
motor home:home run
registered mail:mail order
upside down:down payment
utility room:room service
conference call:call girl
soda water:water tower
traffic light:light bulb
washing machine:machine gun
White House:house arrest
Democratic Party:party favor
master key:key ring
Valentine's Day:day care
open season:season ticket
poetic license:license plate
primary color:color scheme
rolling pin:PIN number
blue law:law enforcement
bogged down:down payment
car pool:pool table
foam rubber:rubber stamp
tissue paper:paper clip
body language:language laboratory
service station:station wagon
American Indian:Indian summer
crash landing:landing strip
fire station:station wagon
test case:case study
time card:card catalog
dead heat:heat wave
focal point:point man
Palm Sunday:Sunday school
police state:State Department
blue blood:blood vessel
double bass:bass guitar
shoulder bag:bag lady
stumbling block:block letter
video game:game show
form letter:letter carrier
Judgment Day:day care
Old World:world war
phone call:call girl
rest home:home run
rock bottom:bottom line
trade school:school district
duffel bag:bag lady
filling station:station wagon
locker room:room service
Memorial Day:day care
outboard motor:motor vehicle
rain check:check mark
charter flight:flight attendant
dump truck:truck stop
outer space:space shuttle
power steering:steering wheel
aptitude test:test tube
playing card:card catalog
prep school:school district
punk rock:rock music
stained glass:glass ceiling
crepe paper:paper clip
primary school:school district
tap water:water tower
Christmas card:card catalog
construction paper:paper clip
extended family:family values
left field:field trip
main drag:drag race
marital status:status symbol
freak out:out of
puppy love:love story
masking tape:tape recorder
stick shift:shift key
crystal ball:ball game
exhibition game:game show
flip out:out of
funeral home:home run
Holy Ghost:ghost town
soda pop:pop quiz
stock exchange:exchange rate
culture shock:shock wave
emergency room:room service
smash hit:hit man
soap opera:opera house
Social Security:security deposit
birth control:control tower
blind spot:spot check
cable car:car wash
inner city:city hall
May Day:day care
nursery school:school district
want ad:ad lib
dude ranch:ranch house
press conference:conference call
sales tax:tax shelter
quality control:control tower
swimming pool:pool table
public utility:utility room
safety pin:PIN number
grade school:school district
ID card:card catalog
short circuit:circuit breaker
Father's Day:day care
shift key:key ring
bad language:language laboratory
family room:room service
powder room:room service
South Pole:pole vault
candy bar:bar mitzvah
tea bag:bag lady
attache case:case study
charge card:card catalog
gas station:station wagon
honor roll:roll call
mineral water:water tower
cast iron:Iron Curtain
junk food:food stamp
fast food:food stamp
half sister:sister city
police department:department store
stressed out:out of
time bomb:bomb disposal
business card:card catalog
death penalty:penalty box
high school:school district
women's room:room service
laundry room:room service
sick pay:pay phone
hard copy:copy machine
high roller:roller skate
night table:table tennis
real time:time zone
window shopping:shopping mall
bear market:market research
dean's list:list price
parking garage:garage sale
navy blue:blue law
Deep South:South Pole
skim milk:milk shake
cable TV:TV dinner
operating room:room service
Revolutionary War:war game
selling point:point man
service charge:charge card
snail mail:mail order
acid rain:rain forest
fountain pen:pen pal
hard disk:disk jockey
pencil case:case study
wrapping paper:paper clip
answering machine:machine gun
foreign exchange:exchange rate
long shot:shot put
natural gas:gas station
severance pay:pay phone
white trash:trash can
breaking point:point man
fire department:department store
funny bone:bone marrow
junk mail:mail order
title role:role model
cardinal number:number cruncher
civil service:service station
next best:best man
Republican Party:party favor
bay window:window shopping
atomic bomb:bomb disposal
hot flash:flash flood
New World:world war
boiling point:point man
open house:house arrest
safe-deposit box:box spring
teddy bear:bear market
trench coat:coat hanger
spring chicken:chicken pox
field day:day care
fly ball:ball game
Labor Day:day care
school district:district court
district attorney:attorney general
drinking water:water tower
State Department:department store
road test:test tube
slipped disk:disk jockey
baby boom:boom box
cell phone:phone call
coffee table:table tennis
cruise control:control tower
floppy disk:disk jockey
parking meter:meter maid
electric razor:razor blade
petty cash:cash register
salad bar:bar mitzvah
wax paper:paper clip
Adam's apple:apple cider
black eye:eye shadow
blood pressure:pressure cooker
dry land:land mine
sweet potato:potato chip
ghost town:town hall
identical twin:twin bed
stock market:market research
Big Apple:apple cider
square root:root beer
white water:water tower
divided highway:highway patrol
double-decker bus:bus stop
serial number:number cruncher
student body:body odor
waiting list:list price
capital letter:letter carrier
field test:test tube
fuse box:box spring
martial law:law enforcement
Mother's Day:day care
cash flow:flow chart
Civil War:war game
Native American:American Indian
slumber party:party favor
olive oil:oil well
postal service:service station
Presidents' Day:day care
virtual reality:reality check
ball game:game show
electronic mail:mail order
ground crew:crew cut
money market:market research
public opinion:opinion poll
rhetorical question:question mark
carbon paper:paper clip
graduate school:school district
hot potato:potato chip
jumper cable:cable TV
tonic water:water tower
basket case:case study
cold war:war game
boarding school:school district
rest room:room service
summer school:school district
world power:power steering
hot spot:spot check
report card:card catalog
slow motion:motion picture
traveler's check:check mark
driver's license:license plate
Scotch tape:tape recorder
white lie:lie detector
doggy bag:bag lady
North Pole:pole vault
playing field:field trip
track record:record player
hot air:air time
ice cream:cream cheese
opera house:house arrest
air bag:bag lady
beach ball:ball game
block letter:letter carrier
game show:show business
litmus test:test tube
rent control:control tower
certified mail:mail order
couch potato:potato chip
grammar school:school district
sister city:city hall
common ground:ground rule
political science:science fiction
room service:service station
strung out:out of
war game:game show
free market:market research
spot check:check mark
still life:life support
world war:war game
call-in show:show business
certified check:check mark
high jump:jump rope
magnifying glass:glass ceiling
big shot:shot put
call girl:Girl Scouts
fruit fly:fly ball
ladies' room:room service
Sunday school:school district
tow truck:truck stop
boom box:box spring
pack rat:rat race
pickup truck:truck stop
remote control:control tower
squad car:car wash
citrus fruit:fruit fly
dining room:room service
firing squad:squad car
small talk:talk show
term paper:paper clip
wrought iron:Iron Curtain
decimal point:point man
felt-tip pen:pen pal
local time:time zone
scuba diving:diving board
stainless steel:steel wool
table tennis:tennis shoe
black magic:Magic Marker
classified ad:ad lib
mobile home:home run
shopping bag:bag lady
malted milk:milk shake
soaking wet:wet suit
trade secret:secret agent
blank check:check mark
carbon copy:copy machine
drinking fountain:fountain pen
home loan:loan shark
Indian summer:summer school
